央视频道,#genre#
CCTV1,http://111.170.172.113:35455/gaoma/cctv1.m3u8
CCTV1,http://117.144.58.42:35455/gaoma/cctv1.m3u8
CCTV1,http://3501776.xyz:35455/gaoma/cctv1.m3u8
CCTV1,http://112.74.115.68:35455/gaoma/cctv1.m3u8
CCTV1,http://hangfun.top:35455/gaoma/cctv1.m3u8
CCTV2,http://111.170.172.113:35455/gaoma/cctv2.m3u8
CCTV2,http://1.itv.nctv.top:35455/gaoma/cctv2.m3u8
CCTV2,http://3501776.xyz:35455/gaoma/cctv2.m3u8
CCTV2,
CCTV2,http://117.144.58.42:35455/gaoma/cctv2.m3u8

CCTV3,http://112.74.115.68:35455/gaoma/cctv3.m3u8
CCTV3,http://hangfun.top:35455/gaoma/cctv3.m3u8
CCTV3,http://117.144.58.42:35455/gaoma/cctv3.m3u8
CCTV3,http://1.itv.nctv.top:35455/gaoma/cctv3.m3u8
CCTV3,http://lt.hxtre.com:35455/gaoma/cctv3.m3u8
CCTV4,http://home.wwang.pw:35455/gaoma/cctv4.m3u8
CCTV4,http://111.170.172.113:35455/gaoma/cctv4.m3u8
CCTV4,http://lt.hxtre.com:35455/gaoma/cctv4.m3u8
CCTV4,http://117.144.58.42:35455/gaoma/cctv4k.m3u8
CCTV4,

CCTV5,http://1.itv.nctv.top:35455/gaoma/cctv5.m3u8
CCTV5,http://117.144.58.42:35455/gaoma/cctv5.m3u8
CCTV5,http://3501776.xyz:35455/gaoma/cctv5.m3u8
CCTV5,http://lt.hxtre.com:35455/gaoma/cctv5.m3u8
CCTV5,http://111.170.172.113:35455/gaoma/cctv5.m3u8
CCTV5+,http://117.144.58.42:35455/gaoma/cctv5p.m3u8
CCTV5+,http://lt.hxtre.com:35455/gaoma/cctv5p.m3u8
CCTV5+,http://1.itv.nctv.top:35455/gaoma/cctv5p.m3u8
CCTV5+,
CCTV5+,

CCTV6,http://111.170.172.113:35455/gaoma/cctv6.m3u8
CCTV6,http://117.144.58.42:35455/gaoma/cctv6.m3u8
CCTV6,http://lt.hxtre.com:35455/gaoma/cctv6.m3u8
CCTV6,http://home.wwang.pw:35455/gaoma/cctv6.m3u8
CCTV6,http://112.74.115.68:35455/gaoma/cctv6.m3u8
CCTV7,http://117.144.58.42:35455/gaoma/cctv7.m3u8
CCTV7,http://lt.hxtre.com:35455/gaoma/cctv7.m3u8
CCTV7,http://home.wwang.pw:35455/gaoma/cctv7.m3u8
CCTV7,http://111.170.172.113:35455/gaoma/cctv7.m3u8
CCTV7,

CCTV8,http://112.74.115.68:35455/gaoma/cctv8.m3u8
CCTV8,http://3501776.xyz:35455/gaoma/cctv8.m3u8
CCTV8,http://lt.hxtre.com:35455/gaoma/cctv8.m3u8
CCTV8,http://hangfun.top:35455/gaoma/cctv8.m3u8
CCTV8,http://117.144.58.42:35455/gaoma/cctv8k_36m.m3u8
CCTV9,http://117.144.58.42:35455/gaoma/cctv9.m3u8
CCTV9,http://home.wwang.pw:35455/gaoma/cctv9.m3u8
CCTV9,http://3501776.xyz:35455/gaoma/cctv9.m3u8
CCTV9,http://39.164.160.249:9901/tsfile/live/0009_1.m3u8
CCTV9,

CCTV10,http://117.144.58.42:35455/gaoma/cctv10.m3u8
CCTV10,http://3501776.xyz:35455/gaoma/cctv10.m3u8
CCTV10,http://hangfun.top:35455/gaoma/cctv10.m3u8
CCTV10,http://111.170.172.113:35455/gaoma/cctv10.m3u8
CCTV10,
CCTV11,http://117.144.58.42:35455/gaoma/cctv11.m3u8
CCTV11,http://1.itv.nctv.top:35455/gaoma/cctv11.m3u8
CCTV11,http://112.74.115.68:35455/gaoma/cctv11.m3u8
CCTV11,http://111.170.172.113:35455/gaoma/cctv11.m3u8
CCTV11,http://lt.hxtre.com:35455/gaoma/cctv11.m3u8

CCTV12,http://117.144.58.42:35455/gaoma/cctv12.m3u8
CCTV12,http://112.74.115.68:35455/gaoma/cctv12.m3u8
CCTV12,http://3501776.xyz:35455/gaoma/cctv12.m3u8
CCTV12,http://39.164.160.249:9901/tsfile/live/0012_1.m3u8
CCTV12,http://lt.hxtre.com:35455/gaoma/cctv12.m3u8
CCTV13,http://39.164.160.249:9901/tsfile/live/0013_1.m3u8
CCTV13,http://111.170.172.113:35455/gaoma/cctv13.m3u8
CCTV13,http://117.144.58.42:35455/gaoma/cctv13.m3u8
CCTV13,http://3501776.xyz:35455/gaoma/cctv13.m3u8
CCTV13,http://lt.hxtre.com:35455/gaoma/cctv13.m3u8

CCTV14,
CCTV14,http://1.itv.nctv.top:35455/gaoma/cctv14.m3u8
CCTV14,http://117.144.58.42:35455/gaoma/cctv14.m3u8
CCTV14,http://112.74.115.68:35455/gaoma/cctv14.m3u8
CCTV14,http://3501776.xyz:35455/gaoma/cctv14.m3u8
CCTV15,http://117.144.58.42:35455/gaoma/cctv15.m3u8
CCTV15,
CCTV15,http://home.wwang.pw:35455/gaoma/cctv15.m3u8
CCTV15,http://112.74.115.68:35455/gaoma/cctv15.m3u8
CCTV15,http://hangfun.top:35455/gaoma/cctv15.m3u8

CCTV16,http://lt.hxtre.com:35455/gaoma/cctv16.m3u8
CCTV16,http://hangfun.top:35455/gaoma/cctv16.m3u8
CCTV16,http://117.144.58.42:35455/gaoma/cctv16.m3u8
CCTV16,http://112.74.115.68:35455/gaoma/cctv16.m3u8
CCTV16,
CCTV17,http://117.144.58.42:35455/gaoma/cctv17.m3u8
CCTV17,http://lt.hxtre.com:35455/gaoma/cctv17.m3u8
CCTV17,http://1.itv.nctv.top:35455/gaoma/cctv17.m3u8
CCTV17,
CCTV17,http://183.11.239.36:808/hls/35/index.m3u8

CCTV世界地理,http://183.11.239.36:808/hls/11/index.m3u8
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
CCTV世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
CCTV世界地理,http://36.129.204.117:9003//hls/78/index.m3u8
CCTV世界地理,http://nas.hssvm.com:8888/udp/225.1.1.186:5002
CCTV央视台球,http://183.11.239.36:808/hls/73/index.m3u8
CCTV央视台球,https://epg.pw/stream/ca9c1cd4b97fb824cedd7fedfd0c7a950afdd7f00751cfbb7c2d89831d7746a5.m3u8
CCTV央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
CCTV央视台球,http://36.129.204.117:9003//hls/71/index.m3u8
CCTV央视台球,http://nas.hssvm.com:8888/udp/225.1.1.198:5002
CCTV女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
CCTV女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8
CCTV女性时尚,http://nas.hssvm.com:8888/udp/225.1.1.190:5002
CCTV女性时尚,http://180.213.174.225:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
CCTV怀旧剧场,http://jf.jxx2023.work:40446/tsfile/live/1149_1.m3u8
CCTV怀旧剧场,http://nas.hssvm.com:8888/udp/225.1.1.184:5002
CCTV怀旧剧场,http://180.213.174.225:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://jf.jxx2023.work:40446/tsfile/live/1049_1.m3u8
CCTV第一剧场,http://180.213.174.225:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://nas.hssvm.com:8888/udp/225.1.1.183:5002
CCTV第一剧场,http://60.7.56.33:4000/udp/239.253.93.138:6428
CCTV风云剧场,http://jf.jxx2023.work:40446/tsfile/live/1150_1.m3u8
CCTV风云剧场,http://nas.hssvm.com:8888/udp/225.1.1.185:5002
CCTV风云足球,http://183.11.239.36:808/hls/133/index.m3u8
CCTV风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
CCTV风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
CCTV风云足球,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8
CCTV风云足球,http://120.238.94.10:9901/tsfile/live/1087_1.m3u8
CCTV风云音乐,http://nas.hssvm.com:8888/udp/225.1.1.192:5002
CCTV高尔夫球,http://nas.hssvm.com:8888/udp/225.1.1.182:5002
CCTV电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
CCTV电视指南,http://nas.hssvm.com:8888/udp/225.1.1.194:5002
CCTV老故事,https://www.freetv.top/migu/884121956.m3u8?migutoken=550b8ac2d06ef43bd80e29582185fe693959996048d7b572ce1659fe9376b6101cf9002c0034445668d6e11645eab13a11978ca20adae4f4248041add5d27f4d8e71fd2a4e44fd398c8fb3614b
CCTV老故事,http://nas.hssvm.com:8888/udp/225.1.1.188:5002
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
